month,avg_month,monthly_change,monthly_change_pct,peak_players,monthly_change_pct_fixed
2024-09-01,131047740,1241854,1.0,35382890,0.9476348085056636
2024-08-01,129805886,-722003,-1.0,35047589,-0.5562174584286571
2024-07-01,130527889,4535718,4.0,35242530,3.474903359541807
2024-06-01,125992171,-7474112,-6.0,34017886,-5.932203517629678
2024-05-01,133466282,4612949,4.0,36035896,3.4562654558699704
2024-04-01,128853333,-3168525,-2.0,34790400,-2.4590167178679034
2024-03-01,132021858,-9076333,-6.0,35645902,-6.874871432274494
2024-02-01,141098190,-1973116,-1.0,38096511,-1.3983992282253939
2024-01-01,143071306,6994355,5.0,32906400,4.888719615098782
2023-12-01,136076951,9214239,7.0,23586671,6.771344399096655
2023-11-01,126862712,-6676985,-5.0,21989537,-5.26315801919795
2023-10-01,133539696,-11454545,-8.0,23146881,-8.577632975890555
2023-09-01,144994242,-8114778,-5.0,25132335,-5.596620864434051
2023-08-01,153109020,1964874,1.0,26538897,1.2833169463170753
2023-07-01,151144146,2086803,1.0,26198319,1.3806707406319263
2023-06-01,149057343,-3916121,-3.0,25836606,-2.6272580210959484
2023-05-01,152973464,-531126,0.0,26515400,-0.3472013943542522
2023-04-01,153504589,2304568,2.0,26607462,1.5013023486874388
2023-03-01,151200021,1537019,1.0,26208004,1.0165468164848999
2023-02-01,149663002,-1782773,-1.0,25941587,-1.1911915277497909
2023-01-01,151445775,2939795,2.0,26250601,1.9411535250818321
2022-12-01,148505980,-1474596,0.0,25741037,-0.992953953773444
2022-11-01,149980576,-928184,0.0,25996633,-0.6188694728042651
2022-10-01,150908760,-193595,0.0,26157518,-0.1282861246755987
2022-09-01,151102355,972337,0.0,26191075,0.6434955960812127
2022-08-01,150130018,223228,0.0,26022536,0.14868978434412763
2022-07-01,149906790,-1374568,0.0,25983844,-0.9169484584387405
2022-06-01,151281358,-1670074,0.0,26222102,-1.1039522794341918
2022-05-01,152951432,584771,0.0,26511582,0.38232463230550207
2022-04-01,152366661,-946016,0.0,26410221,-0.6208812307043993
2022-03-01,153312677,-2243554,0.0,13798141,-1.4633845314696319
2022-02-01,155556231,2249220,0.0,14000061,1.4459208644621893
2022-01-01,153307011,-1674215,0.0,13797631,-1.0920668200882215
2021-12-01,154981226,4613537,0.0,13948310,2.976836045935009
2021-11-01,150367689,1111777,0.0,13533092,0.7393722729887803
2021-10-01,149255912,-2041170,0.0,13433032,-1.3675639193441127
2021-09-01,151297082,-554408,0.0,13616737,-0.3664366772123206
2021-08-01,151851490,-1464195,0.0,13666634,-0.9642282732951781
2021-07-01,153315685,1678998,0.0,13798412,1.0951247421292871
2021-06-01,151636687,4768574,0.0,13647302,3.144736339432159
2021-05-01,146868113,3065435,0.0,13218130,2.087202550222729
2021-04-01,143802678,-1800813,0.0,12942241,-1.2522805729667983
2021-03-01,145603491,2779912,0.0,13104314,1.9092344427373655
2021-02-01,142823579,1874552,0.0,12854122,1.3124947667079536
2021-01-01,140949027,-5558822,0.0,12685412,-3.943852695059754
2020-12-01,146507849,4290500,0.0,13185706,2.9285120416995545
2020-11-01,142217348,23430462,0.0,12799561,16.47510822659975
2020-10-01,118786886,-4920299,0.0,10690820,-4.142123062305043
2020-09-01,123707185,-7360004,0.0,6232378,-5.949536399199448
